"company","emissions_ton","revenue_musd","industry","base_year","target_year","num_target_types","emissions1","emissions2","emissions3","emissions4","certified"
"3M","15,516,000","34,200","Chemicals","","","1","14,558,000 (2020)","16,140,000 (2021)","15,516,000 (2022)","","Yes"
"3i Group plc","6,984","5,804","Banks, Diverse Financials, Insurance","","","3","3,128 (2022)","6,984 (2023)","","","Yes"
"A.P. Moller - Maersk A/S","79,422,000","51,065","Water Transportation - Water Transportation","2022.0","2040.0","3","70,793,000 (2020)","76,368,000 (2021)","82,856,000 (2022)","79,422,000 (2023)","Yes"
"AAK","4,429,357","4,362","Food and Beverage Processing","","","3","4,429,357 (2023)","","","","Yes"
"AB Anders Löfberg","133,585","234","Food and Beverage Processing","","","1","121,769 (2020)","133,585 (2021)","","","Yes"
"AB Pictura","8,786","44","Consumer Durables, Household and Personal Products","","","1","8,786 (2022)","","","","Yes"
"AB SKF","2,042,573","9,796","Electrical Equipment and Machinery","2019.0","2050.0","3","599,339 (2021)","2,382,730 (2022)","2,042,573 (2023)","","Yes"
"AB Sagax","49,546","405","Real Estate","","","1","16,159 (2021)","45,947 (2022)","49,546 (2023)","","Yes"
"AB Svenska bostäder","13,421","326","Real Estate","","","0","12,382 (2020)","11,636 (2021)","16,119 (2022)","13,421 (2023)","Yes"
"ABB","495,134,000","32,235","Electrical Equipment and Machinery","2019.0","2050.0","3","451,816,000 (2022)","495,134,000 (2023)","","","Yes"
"ACCIONA S.A.","202,489","18,424","Construction and Engineering","2017.0","2050.0","3","172,793 (2021)","167,172 (2022)","202,489 (2023)","","Yes"
"AFRY (ÅF Pöyry)","14,553","2,544","Professional Services","","","0","10,627 (2021)","15,040 (2022)","14,553 (2023)","","Yes"
"AIA Group Limited","42,550","42,600","Banks, Diverse Financials, Insurance","","","2","42,550 (2020)","","","","Yes"
"AMF FASTIGHETER AB","15,475","329","Real Estate","","","1","47,445 (2019)","15,672 (2020)","18,888 (2021)","16,518 (2022)","Yes"
"ANZ","140,514","28,270","","","","0","153,697 (2021)","140,514 (2022)","","","Yes"
"AQ Group","39,688","604","","","","0","39,688 (2021)","","","","Yes"
"ASML Holding","11,938,100","25,360","","","","0","8,555,200 (2020)","11,439,400 (2021)","11,938,100 (2022)","","Yes"
"AXA Group","221,606","111,201","Banks, Diverse Financials, Insurance","","","0","243,908 (2022)","221,606 (2023)","351,390 (2019)","","Yes"
"Abanca","3,596","","","","","0","2,419 (2021)","2,888 (2022)","3,596 (2023)","","Yes"
"AbbVie","528,000","56,740","Pharmaceuticals, Biotechnology and Life Sciences","","","2","508,000 (2020)","625,000 (2021)","528,000 (2022)","","Yes"
"Abbott Laboratories","1,006,000","41,510","","","","0","980,000 (2020)","1,014,000 (2021)","1,006,000 (2022)","","Yes"
"Accenture PLC","400,457","63,140","Professional Services","2019.0","2040.0","3","854,922 (2020)","332,455 (2021)","400,457 (2022)","","Yes"
"Accor S.A.","7,170,000","5,473","Hotels, Restaurants and Leisure, and Tourism Services","","","1","3,420,000 (2022)","7,170,000 (2023)","6,391,000 (2019)","","Yes"
"AddLife","4,480","878","","","","0","4,480 (2022)","","","","Yes"
"Addtech AB","40,822","1,856","Electrical Equipment and Machinery","2022.0","2050.0","4","26,020 (2020)","29,089 (2021)","40,822 (2022)","","Yes"
"Advania Sverige AB","135,949","437","Software and Services","","","1","70,386 (2020)","91,999 (2021)","135,949 (2022)","","Yes"
"Aflac","12,323","22,110","","","","0","12,323 (2021)","","","","Yes"
"Agricultural Bank of China","2,153,908","186,140","","","","0","2,153,908 (2022)","","","","Yes"
"Ahold Delhaize","88,879,000","95,954","","","","1"," (2021)","62,775,000 (2022)","88,879,000 (2023)","","Yes"
"Ahréns Åkeri AB","5,095","22","Ground Transportation - Trucking Transportation","","","1","4,414 (2021)","4,367 (2022)","5,095 (2023)","","Yes"
"Airbus","495,655,000","61,924","Aerospace and Defense","","","2","495,655,000 (2022)","","","","Yes"
"Akademiska hus","31,936","708","Real Estate","","","0","83,207 (2019)","80,628 (2021)","45,807 (2022)","31,936 (2023)","Yes"
"Aktia Bank","216,771","315","","","","0","53,570 (2020)","177,876 (2021)","161,852 (2022)","216,771 (2023)","Yes"
"Alfa Laval AB","44,575,608","5,997","Electrical Equipment and Machinery","2020.0","2050.0","3","41,900,544 (2020)","44,575,608 (2023)","","","Yes"
"Alibaba Group","13,230,000","128,260","","","","0","9,510,000 (2020)","13,230,000 (2022)","","","Yes"
"Allianz","136,448","98,770","","","","0","153,910 (2022)","136,448 (2023)","","","Yes"
"Allstate","106,467","44,800","","","","0","106,467 (2020)","","","","Yes"
"Alma Media","14,952","330","Media","","","1","13,482 (2020)","14,352 (2021)","15,451 (2022)","14,952 (2023)","Yes"
"Alphabet Inc.","15,736,600","282,850","Software and Services","","","0","15,279,694 (2020)","16,124,300 (2021)","15,736,600 (2022)","","Yes"
"Alstom","45,246,000","19,071","Ground Transportation - Railroads Transportation","","","1","44,435,000 (2021)","45,523,000 (2022)","45,246,000 (2023)","","Yes"
"Altor Equity Partners AB","3,640,852","","Banks, Diverse Financials, Insurance","","","3","3,640,852 (2022)","","","","Yes"
"Altria Group, Inc.","5,470,861","20,800","Tobacco","2022.0","2050.0","4","5,470,861 (2020)","","","","Yes"
"Amazon","71,270,000","524,900","Retailing","","","0","51,430,000 (2019)","60,640,000 (2020)","71,540,000 (2021)","71,270,000 (2022)","Yes"
"Ambea","31,283","1,219","","","","0","31,283 (2022)","","","","Yes"
"Ambu","19,770","693","Healthcare Equipment and Supplies","","","2","19,206 (2020)","18,085 (2019)","22,834 (2021)","19,629 (2022)","Yes"
"America Movil, S.A.B. de C.V.","4,884,528","43,570","Telecommunication Services","","","1","4,965,409 (2021)","4,884,528 (2022)","","","Yes"
"American Express Company","128,181","59,290","Specialized Financial Services, Consumer Finance, Insurance Brokerage Firms","2019.0","2050.0","4","118,041 (2020)","98,879 (2021)","128,181 (2022)","","Yes"
"American International Group","588,692","51,420","","","","0","607,370 (2021)","588,692 (2022)","","","Yes"
"Amgen Inc.","3,469,000","25,930","Pharmaceuticals, Biotechnology and Life Sciences","","","2","3,163,191 (2020)","3,801,000 (2021)","3,469,000 (2022)","","Yes"
"Anglo American","13,300,000","35,050","","","","0","16,080,000 (2020)","113,220,000 (2021)","13,300,000 (2022)","","Yes"
"Anthem, Inc.","1,016,071","121,900","Healthcare Providers and Services, and Healthcare Technology","","","0","1,016,071 (2020)","","","","Yes"
"Apotea","121,428","483","Food and Staples Retailing","","","1","92,823 (2020)","111,170 (2021)","121,428 (2022)","","Yes"
"Apoteket AB","427,714","2,194","Retailing","","","2","364,051 (2020)","395,477 (2022)","427,714 (2023)","","Yes"
"Apple, Inc.","20,608,200","385,100","Technology Hardware and Equipment","","","1","22,597,430 (2020)","23,186,380 (2021)","20,608,200 (2022)","","Yes"
"Archer Daniels Midland","19,640,000","102,280","","","","0","57,867,367 (2020)","79,800,000 (2021)","19,640,000 (2022)","","Yes"
"Arjo AB","74,336","959","Healthcare Equipment and Supplies","","","1","74,336 (2022)","","","","Yes"
