company,revenue_musd,emissions_ton,certified,target_year
GlobalCorp1,8461.85,3511.99,True,2032
SmartCorp2,5857.23,4859.92,False,2045
EnviroCorp3,8266.95,4739.62,True,2044
PureCorp4,5228.47,4178.52,True,2027
EnviroCorp5,7043.07,1175.94,True,2044
FutureCorp6,7893.51,972.9,True,2044
EcoCorp7,3936.18,2893.12,False,2048
EcoCorp8,9575.73,1626.76,True,2049
EcoCorp9,5841.88,1012.51,True,2034
GlobalCorp10,4334.88,4854.71,False,2046
EnviroCorp11,9267.65,1831.67,True,2040
EcoCorp12,4275.26,2549.54,True,2033
BlueCorp13,9808.38,4458.69,True,2027
SustainCorp14,4932.82,4509.44,False,2046
SmartCorp15,2968.75,1769.79,True,2033
PureCorp16,9971.07,2643.03,True,2026
PureCorp17,2840.33,1051.13,False,2030
CleanCorp18,2149.12,2925.88,True,2043
GreenCorp19,1984.61,2817.09,True,2028
GlobalCorp20,8919.97,4119.89,True,2046
EcoCorp21,6468.02,2616.68,True,2032
GreenCorp22,1731.38,1438.54,True,2049
EnviroCorp23,8330.51,4990.17,True,2042
GreenCorp24,6711.04,1191.36,False,2034
EnviroCorp25,1922.53,4505.92,True,2036
GreenCorp26,8175.32,4516.82,False,2029
GreenCorp27,6236.22,1916.6,False,2047
FutureCorp28,6126.98,2267.35,True,2025
EnviroCorp29,2299.78,4148.2,False,2047
BlueCorp30,5520.6,4652.48,False,2035
BlueCorp31,8406.2,99.95,False,2034
FutureCorp32,1605.69,523.36,True,2040
EnviroCorp33,624.89,403.06,False,2043
SustainCorp34,9744.36,1470.59,False,2035
EnviroCorp35,8294.32,2269.81,True,2045
FutureCorp36,5542.72,2887.87,True,2025
PureCorp37,7117.43,3434.04,False,2030
CleanCorp38,6204.76,1834.07,True,2037
SmartCorp39,6949.93,1075.67,False,2034
CleanCorp40,4117.79,2689.65,False,2042
GlobalCorp41,8929.23,3066.52,False,2038
CleanCorp42,317.76,2331.46,True,2032
FutureCorp43,7808.11,2517.56,False,2040
GreenCorp44,385.49,4093.07,False,2043
SustainCorp45,142.22,4454.88,False,2030
FutureCorp46,5925.33,1264.04,False,2033
CleanCorp47,7475.82,2652.88,False,2042
CleanCorp48,3977.11,778.68,False,2040
SmartCorp49,6594.29,2718.32,False,2039
GlobalCorp50,8833.05,156.36,True,2028
